Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample
Loan,10,0.9792060491493384,0.7306163075223342,0.02588563920257926,10,85,387,130,0.9314950036607718
Machine,10,0.8916666666666667,0.7306163075223342,0.02588563920257926,10,85,387,130,0.9314950036607718
personality,11,0.9189814814814815,0.7427013306774357,0.0049648810171066555,15,41,2112,64,0.6298202574719083
Heart,11,0.9013157894736842,0.7427013306774357,0.0049648810171066555,15,41,2112,64,0.6298202574719083
Loan,11,0.9734848484848485,0.7427013306774357,0.0049648810171066555,15,41,2112,64,0.6298202574719083
Machine,11,0.9037656903765691,0.7427013306774357,0.0049648810171066555,15,41,2112,64,0.6298202574719083
personality,12,0.8875878220140515,0.9947547746402069,0.08183591298101361,14,8,1545,82,0.9261845713819337
Heart,12,0.8866666666666667,0.9947547746402069,0.08183591298101361,14,8,1545,82,0.9261845713819337
Loan,12,0.9674952198852772,0.9947547746402069,0.08183591298101361,14,8,1545,82,0.9261845713819337
Machine,12,0.8823529411764706,0.9947547746402069,0.08183591298101361,14,8,1545,82,0.9261845713819337
personality,13,0.8896713615023474,0.8827429375390468,0.06394979414183315,3,5,3611,60,0.9659838702175123
Heart,13,0.88,0.8827429375390468,0.06394979414183315,3,5,3611,60,0.9659838702175123
Loan,13,0.9753320683111955,0.8827429375390468,0.06394979414183315,3,5,3611,60,0.9659838702175123
Machine,13,0.8755364806866953,0.8827429375390468,0.06394979414183315,3,5,3611,60,0.9659838702175123
personality,14,0.913953488372093,0.9400154311159197,0.01298206615333296,3,48,4648,81,0.7300733288106989
Heart,14,0.8874172185430463,0.9400154311159197,0.01298206615333296,3,48,4648,81,0.7300733288106989
Loan,14,0.9792060491493384,0.9400154311159197,0.01298206615333296,3,48,4648,81,0.7300733288106989
Machine,14,0.8860759493670886,0.9400154311159197,0.01298206615333296,3,48,4648,81,0.7300733288106989
personality,15,0.9012775842044135,0.8918424713352255,0.037958335792652884,5,65,2740,20,0.8886918084659492
Heart,15,0.8712871287128713,0.8918424713352255,0.037958335792652884,5,65,2740,20,0.8886918084659492
Loan,15,0.9771863117870723,0.8918424713352255,0.037958335792652884,5,65,2740,20,0.8886918084659492
Machine,15,0.8680851063829788,0.8918424713352255,0.037958335792652884,5,65,2740,20,0.8886918084659492
personality,16,0.9187935034802784,0.6943939678995823,0.004308362974571588,11,79,1534,82,0.9583054382694077
Heart,16,0.9025974025974026,0.6943939678995823,0.004308362974571588,11,79,1534,82,0.9583054382694077
Loan,16,0.9714285714285714,0.6943939678995823,0.004308362974571588,11,79,1534,82,0.9583054382694077
Machine,16,0.8991596638655462,0.6943939678995823,0.004308362974571588,11,79,1534,82,0.9583054382694077
personality,17,0.9147465437788018,0.7901480892728447,0.024848598084506544,6,94,1728,48,0.6915192661966489
Heart,17,0.8888888888888888,0.7901480892728447,0.024848598084506544,6,94,1728,48,0.6915192661966489
Loan,17,0.9792060491493384,0.7901480892728447,0.024848598084506544,6,94,1728,48,0.6915192661966489
Machine,17,0.8983050847457628,0.7901480892728447,0.024848598084506544,6,94,1728,48,0.6915192661966489
personality,18,0.9071925754060325,0.6307919639315172,0.005220949381122231,24,28,2675,64,0.7182534743350856
Heart,18,0.8910891089108911,0.6307919639315172,0.005220949381122231,24,28,2675,64,0.7182534743350856
Loan,18,0.9772727272727273,0.6307919639315172,0.005220949381122231,24,28,2675,64,0.7182534743350856
Machine,18,0.9,0.6307919639315172,0.005220949381122231,24,28,2675,64,0.7182534743350856
personality,19,0.9095127610208816,0.6421977039321082,0.013517347792740362,14,44,1413,49,0.9533121035675474
Heart,19,0.8844884488448845,0.6421977039321082,0.013517347792740362,14,44,1413,49,0.9533121035675474
Loan,19,0.9772727272727273,0.6421977039321082,0.013517347792740362,14,44,1413,49,0.9533121035675474
Machine,19,0.8803418803418803,0.6421977039321082,0.013517347792740362,14,44,1413,49,0.9533121035675474
personality,20,0.9187935034802784,0.7297380084021096,0.0020064422651244317,9,62,1356,140,0.9272059063689972
Heart,20,0.9079365079365079,0.7297380084021096,0.0020064422651244317,9,62,1356,140,0.9272059063689972
Loan,20,0.9543726235741445,0.7297380084021096,0.0020064422651244317,9,62,1356,140,0.9272059063689972
Machine,20,0.9061224489795918,0.7297380084021096,0.0020064422651244317,9,62,1356,140,0.9272059063689972
personality,21,0.9177288528389339,0.9442922333025374,0.001040450133602816,10,27,4794,81,0.6888431241882921
Heart,21,0.8976897689768977,0.9442922333025374,0.001040450133602816,10,27,4794,81,0.6888431241882921
Loan,21,0.9714285714285714,0.9442922333025374,0.001040450133602816,10,27,4794,81,0.6888431241882921
Machine,21,0.907563025210084,0.9442922333025374,0.001040450133602816,10,27,4794,81,0.6888431241882921
personality,22,0.9105691056910569,0.6479461469334731,0.006859835746759407,17,59,3495,115,0.8232408008069365
Heart,22,0.88,0.6479461469334731,0.006859835746759407,17,59,3495,115,0.8232408008069365
Loan,22,0.9735849056603774,0.6479461469334731,0.006859835746759407,17,59,3495,115,0.8232408008069365
Machine,22,0.8898305084745762,0.6479461469334731,0.006859835746759407,17,59,3495,115,0.8232408008069365
personality,23,0.9179190751445087,0.7615344684232164,0.0014479246593891379,22,12,3631,58,0.7988994023569542
Heart,23,0.8976897689768977,0.7615344684232164,0.0014479246593891379,22,12,3631,58,0.7988994023569542
Loan,23,0.9694656488549618,0.7615344684232164,0.0014479246593891379,22,12,3631,58,0.7988994023569542
Machine,23,0.9029535864978903,0.7615344684232164,0.0014479246593891379,22,12,3631,58,0.7988994023569542
