Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample,Avg_F1
Machine,10,0.9029535864978904,0.7306163075223342,0.0258856392025792,11,62,387,130,0.9314950036607718,0.924817739020809
personality,11,0.9212962962962964,0.7427013306774357,0.0049648810171066,11,41,2112,64,0.6298202574719083,0.9254274611144363
Heart,11,0.9013157894736842,0.7427013306774357,0.0049648810171066,11,41,2112,64,0.6298202574719083,0.9254274611144363
Loan,11,0.9753320683111956,0.7427013306774357,0.0049648810171066,11,41,2112,64,0.6298202574719083,0.9254274611144363
Machine,11,0.9037656903765692,0.7427013306774357,0.0049648810171066,11,41,2112,64,0.6298202574719083,0.9254274611144363
personality,12,0.8888888888888888,0.9947547746402068,0.0818359129810136,11,8,1545,82,0.9261845713819336,0.9096251146325744
Heart,12,0.8970099667774086,0.9947547746402068,0.0818359129810136,11,8,1545,82,0.9261845713819336,0.9096251146325744
Loan,12,0.9674952198852772,0.9947547746402068,0.0818359129810136,11,8,1545,82,0.9261845713819336,0.9096251146325744
Machine,12,0.8851063829787233,0.9947547746402068,0.0818359129810136,11,8,1545,82,0.9261845713819336,0.9096251146325744
personality,13,0.8873239436619719,0.8827429375390468,0.0639497941418331,8,5,3611,60,0.9659838702175124,0.9083218783644508
Heart,13,0.8844884488448845,0.8827429375390468,0.0639497941418331,8,5,3611,60,0.9659838702175124,0.9083218783644508
Loan,13,0.9716446124763704,0.8827429375390468,0.0639497941418331,8,5,3611,60,0.9659838702175124,0.9083218783644508
Machine,13,0.8898305084745762,0.8827429375390468,0.0639497941418331,8,5,3611,60,0.9659838702175124,0.9083218783644508
personality,14,0.892018779342723,0.9400154311159196,0.0129820661533329,8,48,4648,81,0.7300733288106989,0.9034686429232246
Heart,14,0.875,0.9400154311159196,0.0129820661533329,8,48,4648,81,0.7300733288106989,0.9034686429232246
Loan,14,0.97131931166348,0.9400154311159196,0.0129820661533329,8,48,4648,81,0.7300733288106989,0.9034686429232246
Machine,14,0.8755364806866953,0.9400154311159196,0.0129820661533329,8,48,4648,81,0.7300733288106989,0.9034686429232246
personality,15,0.881316098707403,0.8918424713352255,0.0379583357926528,10,35,2740,20,0.8886918084659492,0.9063318361729836
Heart,15,0.8874172185430463,0.8918424713352255,0.0379583357926528,10,35,2740,20,0.8886918084659492,0.9063318361729836
Loan,15,0.9752380952380952,0.8918424713352255,0.0379583357926528,10,35,2740,20,0.8886918084659492,0.9063318361729836
Machine,15,0.8813559322033898,0.8918424713352255,0.0379583357926528,10,35,2740,20,0.8886918084659492,0.9063318361729836
personality,16,0.9187935034802784,0.6943939678995823,0.0043083629745715,10,9,256,34,0.6443563283247326,0.9131835909165603
Heart,16,0.8932038834951457,0.6943939678995823,0.0043083629745715,10,9,256,34,0.6443563283247326,0.9131835909165603
Loan,16,0.9593810444874274,0.6943939678995823,0.0043083629745715,10,9,256,34,0.6443563283247326,0.9131835909165603
Machine,16,0.8813559322033898,0.6943939678995823,0.0043083629745715,10,9,256,34,0.6443563283247326,0.9131835909165603
personality,17,0.9200463499420626,0.7757346007463081,0.0031599697383525,14,52,4241,48,0.6915192661966489,0.925967366008634
Heart,17,0.9055374592833876,0.7757346007463081,0.0031599697383525,14,52,4241,48,0.6915192661966489,0.925967366008634
Loan,17,0.9753320683111956,0.7757346007463081,0.0031599697383525,14,52,4241,48,0.6915192661966489,0.925967366008634
Machine,17,0.9029535864978904,0.7757346007463081,0.0031599697383525,14,52,4241,48,0.6915192661966489,0.925967366008634
personality,18,0.9084588644264194,0.6307919639315172,0.0052209493811222,13,28,2675,64,0.7182534743350856,0.9187433260375413
Heart,18,0.8910891089108911,0.6307919639315172,0.0052209493811222,13,28,2675,64,0.7182534743350856,0.9187433260375413
Loan,18,0.9754253308128544,0.6307919639315172,0.0052209493811222,13,28,2675,64,0.7182534743350856,0.9187433260375413
Machine,18,0.9,0.6307919639315172,0.0052209493811222,13,28,2675,64,0.7182534743350856,0.9187433260375413
personality,19,0.9118329466357308,0.6421977039321082,0.0135173477927403,11,44,1413,49,0.9533121035675474,0.9129988360334228
Heart,19,0.8844884488448845,0.6421977039321082,0.0135173477927403,11,44,1413,49,0.9533121035675474,0.9129988360334228
Loan,19,0.9753320683111956,0.6421977039321082,0.0135173477927403,11,44,1413,49,0.9533121035675474,0.9129988360334228
Machine,19,0.8803418803418803,0.6421977039321082,0.0135173477927403,11,44,1413,49,0.9533121035675474,0.9129988360334228
personality,20,0.9187935034802784,0.7297380084021096,0.0020064422651244,8,62,1356,140,0.9272059063689972,0.9218062709926307
Heart,20,0.907936507936508,0.7297380084021096,0.0020064422651244,8,62,1356,140,0.9272059063689972,0.9218062709926307
Loan,20,0.9543726235741444,0.7297380084021096,0.0020064422651244,8,62,1356,140,0.9272059063689972,0.9218062709926307
Machine,20,0.9061224489795918,0.7297380084021096,0.0020064422651244,8,62,1356,140,0.9272059063689972,0.9218062709926307
personality,21,0.9154113557358052,0.9442922333025374,0.0010404501336028,10,9,4463,70,0.7077649335194086,0.9205927549338367
Heart,21,0.8970099667774086,0.9442922333025374,0.0010404501336028,10,9,4463,70,0.7077649335194086,0.9205927549338367
Loan,21,0.9716446124763704,0.9442922333025374,0.0010404501336028,10,9,4463,70,0.7077649335194086,0.9205927549338367
Machine,21,0.8983050847457628,0.9442922333025374,0.0010404501336028,10,9,4463,70,0.7077649335194086,0.9205927549338367
personality,22,0.9187935034802784,0.6976502088991097,0.0026114235575346,8,52,1903,71,0.6987504251354405,0.9285283892319416
Heart,22,0.9161290322580644,0.6976502088991097,0.0026114235575346,8,52,1903,71,0.6987504251354405,0.9285283892319416
Loan,22,0.9754253308128544,0.6976502088991097,0.0026114235575346,8,52,1903,71,0.6987504251354405,0.9285283892319416
Machine,22,0.9037656903765692,0.6976502088991097,0.0026114235575346,8,52,1903,71,0.6987504251354405,0.9285283892319416
personality,23,0.8815943728018757,0.8785217091359153,0.0581273624872845,12,56,3202,132,0.9906459823330612,0.9003458660466084
Heart,23,0.8758169934640523,0.8785217091359153,0.0581273624872845,12,56,3202,132,0.9906459823330612,0.9003458660466084
Loan,23,0.9732824427480916,0.8785217091359153,0.0581273624872845,12,56,3202,132,0.9906459823330612,0.9003458660466084
Machine,23,0.8706896551724138,0.8785217091359153,0.0581273624872845,12,56,3202,132,0.9906459823330612,0.9003458660466084
personality,24,0.916279069767442,0.7644148053272926,0.0012074542179597,8,1,3524,145,0.6579579488364892,0.9156244545650274
Heart,24,0.8938906752411575,0.7644148053272926,0.0012074542179597,8,1,3524,145,0.6579579488364892,0.9156244545650274
Loan,24,0.9540229885057472,0.7644148053272926,0.0012074542179597,8,1,3524,145,0.6579579488364892,0.9156244545650274
Machine,24,0.8983050847457628,0.7644148053272926,0.0012074542179597,8,1,3524,145,0.6579579488364892,0.9156244545650274
personality,25,0.8771929824561403,0.7957811041110252,0.2764239633707395,14,68,3560,142,0.6968639753109703,0.8974373915701291
Heart,25,0.8675496688741722,0.7957811041110252,0.2764239633707395,14,68,3560,142,0.6968639753109703,0.8974373915701291
Loan,25,0.9792060491493384,0.7957811041110252,0.2764239633707395,14,68,3560,142,0.6968639753109703,0.8974373915701291
Machine,25,0.8658008658008658,0.7957811041110252,0.2764239633707395,14,68,3560,142,0.6968639753109703,0.8974373915701291
personality,26,0.9128919860627178,0.9212559025519584,0.0146214922262637,9,70,1980,116,0.6602870175861718,0.9179602087356908
Heart,26,0.8976897689768977,0.9212559025519584,0.0146214922262637,9,70,1980,116,0.6602870175861718,0.9179602087356908
Loan,26,0.9714285714285714,0.9212559025519584,0.0146214922262637,9,70,1980,116,0.6602870175861718,0.9179602087356908
Machine,26,0.8898305084745762,0.9212559025519584,0.0146214922262637,9,70,1980,116,0.6602870175861718,0.9179602087356908
