Dataset,Param_set,F1_score,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,subsample
Heart,24,0.8938906752411575,0.7644148053272926,0.0012074542179597598,8,1,3524,145,0.6579579488364892
Loan,24,0.9540229885057471,0.7644148053272926,0.0012074542179597598,8,1,3524,145,0.6579579488364892
Machine,24,0.8983050847457628,0.7644148053272926,0.0012074542179597598,8,1,3524,145,0.6579579488364892
personality,25,0.8771929824561403,0.7957811041110252,0.2764239633707395,14,68,3560,142,0.6968639753109703
Heart,25,0.8675496688741722,0.7957811041110252,0.2764239633707395,14,68,3560,142,0.6968639753109703
Loan,25,0.9792060491493384,0.7957811041110252,0.2764239633707395,14,68,3560,142,0.6968639753109703
Machine,25,0.8658008658008658,0.7957811041110252,0.2764239633707395,14,68,3560,142,0.6968639753109703
personality,26,0.9128919860627178,0.9212559025519583,0.014621492226263782,9,70,1980,116,0.6602870175861718
Heart,26,0.8976897689768977,0.9212559025519583,0.014621492226263782,9,70,1980,116,0.6602870175861718
Loan,26,0.9714285714285714,0.9212559025519583,0.014621492226263782,9,70,1980,116,0.6602870175861718
Machine,26,0.8898305084745762,0.9212559025519583,0.014621492226263782,9,70,1980,116,0.6602870175861718
personality,27,0.8815943728018757,0.8032795106962874,0.05291912967258153,10,20,2861,109,0.8048372233197124
Heart,27,0.8976897689768977,0.8032795106962874,0.05291912967258153,10,20,2861,109,0.8048372233197124
Loan,27,0.9772727272727273,0.8032795106962874,0.05291912967258153,10,20,2861,109,0.8048372233197124
Machine,27,0.8974358974358975,0.8032795106962874,0.05291912967258153,10,20,2861,109,0.8048372233197124
personality,28,0.8815943728018757,0.6905983100791752,0.03964343081606948,11,33,2009,147,0.8071005402109921
Heart,28,0.8874172185430463,0.6905983100791752,0.03964343081606948,11,33,2009,147,0.8071005402109921
Loan,28,0.9754253308128544,0.6905983100791752,0.03964343081606948,11,33,2009,147,0.8071005402109921
Machine,28,0.8803418803418803,0.6905983100791752,0.03964343081606948,11,33,2009,147,0.8071005402109921
personality,29,0.8943661971830986,0.9350840423629312,0.04718091406886759,8,89,4111,61,0.7031766510860622
Heart,29,0.8778877887788779,0.9350840423629312,0.04718091406886759,8,89,4111,61,0.7031766510860622
Loan,29,0.9753320683111955,0.9350840423629312,0.04718091406886759,8,89,4111,61,0.7031766510860622
Machine,29,0.8583690987124464,0.9350840423629312,0.04718091406886759,8,89,4111,61,0.7031766510860622
personality,30,0.88,0.8639936184136716,0.10576902036995886,8,60,2099,148,0.6372411071223597
Heart,30,0.8786885245901639,0.8639936184136716,0.10576902036995886,8,60,2099,148,0.6372411071223597
Loan,30,0.9792060491493384,0.8639936184136716,0.10576902036995886,8,60,2099,148,0.6372411071223597
Machine,30,0.8706896551724138,0.8639936184136716,0.10576902036995886,8,60,2099,148,0.6372411071223597
personality,31,0.8833922261484098,0.9588863031813307,0.1699983505425299,10,9,3220,67,0.9386644568953224
Heart,31,0.8910891089108911,0.9588863031813307,0.1699983505425299,10,9,3220,67,0.9386644568953224
Loan,31,0.9771863117870723,0.9588863031813307,0.1699983505425299,10,9,3220,67,0.9386644568953224
Machine,31,0.8898305084745762,0.9588863031813307,0.1699983505425299,10,9,3220,67,0.9386644568953224
personality,32,0.8894117647058823,0.942529716751237,0.010046520607332412,8,24,4773,94,0.9742539976883791
