dataset,data_fraction,model,tuning_method,iteration,AUC,rf__max_depth,rf__min_samples_split,rf__n_estimators,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample,sgd__alpha,sgd__l1_ratio,sgd__penalty
qsar-biodeg,0.25,XGBoost,RandomSearch,20,0.862042842215256,,,,0.0013667272915456217,8,1750,0.4498095607205338,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,21,0.8582926970858005,,,,0.0065169906111771725,5,793,0.4210779940242304,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,22,0.8608208522001626,,,,0.006963114377829285,12,494,0.2268318024772864,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,23,0.833289794496691,,,,0.25502980701628913,1,1882,0.9881982429404655,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,24,0.8515238592824801,,,,0.20736445177905022,12,649,0.10496990541124217,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,25,0.8326889585510275,,,,0.27950159165083344,1,393,0.7561064512368886,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,26,0.8386363636363636,,,,0.20597335357437185,5,1515,0.4226191556898453,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,27,0.8533902240798794,,,,0.002226420430376967,7,202,0.6609683141448022,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,28,0.8528329269708581,,,,0.009833181933644887,7,408,0.7019571273972466,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,29,0.8250261233019853,,,,0.09948716832761018,12,1897,0.3472496136910578,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,30,0.8328689190758156,,,,0.04827588872094673,3,614,0.9745408858501934,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,31,0.8195141065830721,,,,0.35216117382054263,5,1243,0.31238642777406017,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,32,0.8560925345408104,,,,0.005864148617634939,11,394,0.7395966007172087,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,33,0.8648061070474863,,,,0.0021511587551819597,12,1486,0.2815472821018566,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,34,0.8391239986067573,,,,0.4867329944599205,1,565,0.6069480147787453,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,35,0.8363636363636363,,,,0.12205294397769414,5,1432,0.6439756413500355,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,36,0.8421630094043888,,,,0.04164120360093465,13,1061,0.9485682135021829,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,37,0.8382996632996633,,,,0.06260318075113791,3,1111,0.8924210551137319,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,38,0.8216417044003251,,,,0.07465555774745708,14,1978,0.19494483384724354,,,
qsar-biodeg,0.25,XGBoost,RandomSearch,39,0.8352548473238128,,,,0.023420907100434138,12,1581,0.4748589530833296,,,
