dataset,params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,brier_score
Bank,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'max_samples': 0.5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 345}",-0.19350748945762725,0.002813517518667773,92,1.7950518608093262,0.09249639511108398,0.19350748945762725
Bank,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'max_samples': 0.9, 'min_samples_leaf': 3, 'min_samples_split': 19, 'n_estimators': 1020}",-0.19408164030669367,0.00231416095547648,94,5.796610164642334,0.22027802467346191,0.19408164030669367
Bank,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.1, 'max_samples': 0.9, 'min_samples_leaf': 9, 'min_samples_split': 5, 'n_estimators': 784}",-0.19124660195070692,0.002938394861763175,82,5.30364580154419,0.21106290817260742,0.19124660195070692
Bank,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.33, 'max_samples': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 1215}",-0.1860510924381348,0.00405867893502011,4,18.339780235290526,0.5067284107208252,0.1860510924381348
Bank,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.33, 'max_samples': 0.9, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 781}",-0.18709122155037827,0.003809799957766096,22,11.866423606872559,0.26506862640380857,0.18709122155037827
Bank,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.1, 'max_samples': 0.9, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 363}",-0.18931687563179206,0.0031214154342103155,53,2.8433416366577147,0.13440213203430176,0.18931687563179206
Bank,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.33, 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 1319}",-0.1864846466503414,0.0042187132807050935,11,20.67201828956604,0.4353355407714844,0.1864846466503414
Bank,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.33, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 755}",-0.18948436796763182,0.0028897581798026724,57,9.75872368812561,0.18218836784362794,0.18948436796763182
Bank,"{'criterion': 'log_loss', 'max_depth': 15, 'max_features': 0.33, 'max_samples': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 18, 'n_estimators': 219}",-0.1872475535848887,0.003401622192203641,25,2.913490390777588,0.07413272857666016,0.1872475535848887
Bank,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 0.33, 'max_samples': 0.7, 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 216}",-0.1879427227376631,0.00365229922506979,37,2.7009594440460205,0.07658648490905762,0.1879427227376631
Bank,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.25, 'max_samples': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1181}",-0.18702267675900203,0.0038729368894220516,20,11.592079448699952,0.39210047721862795,0.18702267675900203
Bank,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.25, 'max_samples': 0.7, 'min_samples_leaf': 6, 'min_samples_split': 17, 'n_estimators': 587}",-0.19039103132820773,0.003058902037397915,76,4.506696271896362,0.11826691627502442,0.19039103132820773
Bank,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 889}",-0.19190812516257844,0.0027812035737432013,89,4.765226602554321,0.16098227500915527,0.19190812516257844
Bank,"{'criterion': 'log_loss', 'max_depth': 20, 'max_features': 0.25, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 1209}",-0.1863085811728041,0.004198813212536536,8,14.991903352737427,0.43145151138305665,0.1863085811728041
Bank,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 0.1, 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 16, 'n_estimators': 1108}",-0.19452840650718448,0.0023540695782774206,96,6.785165405273437,0.2580392837524414,0.19452840650718448
Bank,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.1, 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 13, 'n_estimators': 1011}",-0.19025521466989312,0.002989386797262558,73,7.495257711410522,0.2934828281402588,0.19025521466989312
Bank,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 0.33, 'max_samples': 0.5, 'min_samples_leaf': 7, 'min_samples_split': 5, 'n_estimators': 1412}",-0.1880334104117821,0.0034990757507939053,38,14.619612455368042,0.4142580032348633,0.1880334104117821
Bank,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'max_samples': 0.9, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 1223}",-0.1882353536745587,0.0033181832289114113,39,10.898566722869873,0.3798725128173828,0.1882353536745587
Bank,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 0.25, 'max_samples': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1115}",-0.18608058901641653,0.004052300598139423,5,14.78363585472107,0.47418994903564454,0.18608058901641653
Bank,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 0.33, 'max_samples': None, 'min_samples_leaf': 8, 'min_samples_split': 17, 'n_estimators': 357}",-0.18998710123778267,0.0031357396000729425,69,4.313087892532349,0.08476319313049316,0.18998710123778267
Bank,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.33, 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 789}",-0.18641643322260143,0.004074403370687169,9,14.093187236785889,0.31152820587158203,0.18641643322260143
Bank,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 1391}",-0.1874299984482431,0.003452012857548174,29,9.6583842754364,0.49109973907470705,0.1874299984482431
