number,value,user_attrs_colsample_bytree,user_attrs_gamma,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
34,1.0,0.9413866508693163,0.0010048941381762514,0.1398918907928443,2,1762,0.5801092280855806,COMPLETE
35,1.0,0.5878815462199474,2.596098497732123,0.03249030543486653,11,923,0.8249087031701235,COMPLETE
36,1.0,0.6534088700779432,8.774210109811537e-08,0.02710168708947917,4,526,0.8304432799337438,COMPLETE
37,1.0,0.5919808486968721,3.005160057389647e-08,0.04077965722215798,10,997,0.5057442834292489,COMPLETE
38,1.0,0.9558408107472501,1.5737225394080467,0.010927486048170874,8,1595,0.7617127165057752,COMPLETE
39,1.0,0.9581947679947549,0.045055053252589745,0.0017383418504460606,6,1717,0.7920307419525954,COMPLETE
40,1.0,0.5566662764654124,4.733059999357173e-07,0.005877223206794787,5,803,0.6433219454102768,COMPLETE
41,1.0,0.7637456806012959,3.540597156664844e-05,0.20034071167415404,3,1115,0.5194684783209951,COMPLETE
42,1.0,0.607784981322862,2.1651694956147575e-06,0.003733785070504698,9,1249,0.5254299184935616,COMPLETE
43,1.0,0.9271274643513541,8.370309622467651e-05,0.02929305030084604,10,1985,0.9037198827133854,COMPLETE
44,1.0,0.7963913276036984,0.00230388840768466,0.22574010883055887,4,1688,0.5232827207317896,COMPLETE
45,1.0,0.6465000652303687,1.4137753724124307e-08,0.07142210904046557,3,1574,0.6864379380851544,COMPLETE
46,1.0,0.7873569722235432,5.2668405654471095e-06,0.2812499257887047,9,1785,0.9438171680941969,COMPLETE
47,1.0,0.693189687576231,1.472925460770475e-07,0.16388298679327276,6,1437,0.9376896013393652,COMPLETE
48,0.9997230944832013,0.7934513985153666,0.2431324798043682,0.0018144817717152828,3,117,0.9508828936855489,COMPLETE
49,1.0,0.8414188224420818,0.08734586846485347,0.15506335341942135,7,998,0.726722678678732,COMPLETE
