number,value,user_attrs_colsample_bylevel,user_attrs_l2_leaf_reg,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
18,1.0,0.5586899206589606,1.746229084183181,0.1199998050345867,9,1855,0.9258580699381496,COMPLETE
19,1.0,0.8828799699109733,3.5837873779174996,0.04913611315467245,9,1437,0.7235469490548032,COMPLETE
20,0.9999715989000034,0.8828453405373842,0.6221333745899266,0.06467074273509554,2,128,0.5442293505187594,COMPLETE
21,1.0,0.7780413843848585,0.27667917987364776,0.00165576269889821,9,896,0.9455066231981953,COMPLETE
22,1.0,0.7512171808357582,0.5598919755589518,0.0016161149533100972,10,1053,0.5935780242576127,COMPLETE
23,1.0,0.8555531284227316,0.16328832585993516,0.005967841460109233,4,1758,0.6710159872233106,COMPLETE
24,1.0,0.9570344112048449,0.22538769251043664,0.004969256210914103,10,386,0.7183751468133002,COMPLETE
25,0.9999887124797823,0.7261732518284258,4.24899161571866,0.0027768514916231735,8,186,0.9831360230532089,COMPLETE
26,0.9999737839857934,0.775829804146122,2.3331573829595644,0.002314636098805784,6,209,0.9649475417264196,COMPLETE
27,1.0,0.5485670398617692,0.19948427521105214,0.08402584319926823,8,359,0.5618233367486447,COMPLETE
28,1.0,0.6785975276807019,1.7406433759629316,0.04929044344164273,6,1490,0.7851285915821034,COMPLETE
29,1.0,0.5681571478130082,1.0014839695910747,0.004590522654707555,11,1684,0.8166403358987162,COMPLETE
30,1.0,0.8006308451600845,0.8791405417907288,0.015714915169150724,8,425,0.7203741114997702,COMPLETE
31,1.0,0.6404359108160236,9.422308269023302,0.2830571906515302,4,1325,0.5267101496074138,COMPLETE
32,1.0,0.5337765709297935,1.6149751196212112,0.012017094345484515,9,1468,0.8937018306515323,COMPLETE
33,1.0,0.7276463186533569,0.19445056991120208,0.053246120991622604,11,253,0.8639868435937004,COMPLETE
34,1.0,0.7056457189621332,1.8670731342553388,0.011905192145250997,6,864,0.7723184218654553,COMPLETE
