number,value,user_attrs_colsample_bytree,user_attrs_gamma,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
39,0.5244480621820283,0.9757678838331583,0.05426267957780243,0.0026616234053839383,9,961,0.5449965825779428,COMPLETE
40,0.5278050759851604,0.8936233476997879,0.35861582449599233,0.010552452572406305,2,1494,0.9922149921719048,COMPLETE
41,0.5193303197398543,0.8146788349649619,3.68499898897812e-05,0.020276241982537125,5,1260,0.7049888244079658,COMPLETE
42,0.528451248354107,0.6251800858254624,2.8876068167306725e-06,0.007957857472123254,2,1626,0.7683408998343,COMPLETE
43,0.5214901118206231,0.8293830196930219,0.0031336756212419817,0.0020347555740669126,11,1956,0.5164672297565588,COMPLETE
44,0.5104950339567829,0.894949532919011,0.38948271423101405,0.07233674922663604,10,397,0.5641682336911369,COMPLETE
45,0.5282334877207866,0.9661686477796158,5.557926102073319e-07,0.0058920845569950175,3,1544,0.8723686446000538,COMPLETE
46,0.5235292765352081,0.6722467544561844,0.0002908075259248995,0.00623368856212167,6,1686,0.644204442829468,COMPLETE
47,0.5273292493077946,0.6298639815661708,1.4358567321294752e-05,0.002156443914373937,8,117,0.664357142265944,COMPLETE
48,0.506826982972613,0.6327148735609767,3.728341175942514e-08,0.26746476190316953,6,1935,0.758525905523018,COMPLETE
49,0.5068469928656588,0.5517432626420073,4.163990287945551e-05,0.11666646329589087,11,559,0.9502803344599982,COMPLETE
