number,value,user_attrs_colsample_bytree,user_attrs_gamma,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_subsample,state
37,0.8842422921670816,0.9197664127907523,2.0536512067508612e-08,0.0014951839155182677,2,1882,0.8853983832253982,COMPLETE
38,0.9158043621525863,0.7547917683145053,7.789712381036793e-05,0.0011354595831511122,5,1382,0.7758337639009956,COMPLETE
39,0.9391294733956511,0.7103633286233202,1.0374794787013993e-08,0.008662241842431934,8,1494,0.5726666286288048,COMPLETE
40,0.9323770572664082,0.7954332945160314,0.00043541641486798257,0.1508930016008479,8,1167,0.7671055253747074,COMPLETE
41,0.9393883378949068,0.796256486625633,0.010511920126672129,0.008889982335556493,8,1914,0.8336463907780569,COMPLETE
42,0.9311693221975608,0.7596619891816343,6.413630411519157,0.012649917105763655,8,741,0.854471438283035,COMPLETE
43,0.8851799251768625,0.8073852780819231,1.5218231664818925e-06,0.002669901906432197,3,363,0.871418712225352,COMPLETE
44,0.9237785218975971,0.7331410886539975,6.427779363669749e-08,0.0017562255873385323,7,632,0.870535245475011,COMPLETE
45,0.9318409334068511,0.633148209017053,0.010092857322336604,0.002304834284241051,9,847,0.7961179362194315,COMPLETE
46,0.920027257215302,0.8235539184990756,1.1843357116026117e-07,0.016910123494373586,2,941,0.7788975909514455,COMPLETE
47,0.9342837366235409,0.562951161917647,0.0005063900776545262,0.004584145709070065,6,1831,0.9418480338317866,COMPLETE
48,0.936307684771875,0.7756519947802434,3.1730027961395215e-06,0.010852089759651604,5,1219,0.6238211893696775,COMPLETE
49,0.9258969270551249,0.6980374087633999,9.262572208130235,0.004221812681778657,11,964,0.5439795206212052,COMPLETE
