iter	Passed	Remaining
651	9889	5278
652	9905	5263
653	9922	5249
654	9941	5236
655	9962	5224
656	9996	5218
657	10015	5205
658	10033	5191
659	10052	5178
660	10066	5162
661	10080	5146
662	10098	5133
663	10121	5121
664	10138	5107
665	10158	5094
666	10178	5081
667	10197	5068
668	10217	5055
669	10241	5044
670	10262	5031
671	10282	5018
672	10302	5005
673	10321	4992
674	10337	4977
675	10356	4963
676	10374	4949
677	10386	4932
678	10400	4916
679	10422	4904
680	10441	4891
681	10458	4876
682	10478	4863
683	10499	4850
684	10518	4837
685	10535	4822
686	10555	4809
687	10577	4796
688	10593	4781
689	10611	4767
690	10627	4752
691	10646	4738
692	10671	4727
693	10685	4711
694	10698	4695
695	10712	4679
696	10730	4664
697	10744	4648
698	10763	4635
699	10777	4618
700	10791	4603
701	10804	4586
702	10817	4570
703	10830	4553
704	10843	4537
705	10856	4521
706	10869	4504
707	10882	4488
708	10895	4471
709	10909	4455
710	10922	4439
711	10935	4423
712	10949	4407
713	10962	4391
714	10975	4374
715	10988	4358
716	11001	4342
717	11014	4325
718	11027	4309
719	11040	4293
720	11053	4277
721	11066	4260
722	11079	4245
723	11092	4228
724	11105	4212
725	11119	4196
726	11133	4180
727	11148	4165
728	11161	4149
729	11176	4133
730	11192	4118
731	11206	4102
732	11219	4086
733	11232	4070
734	11245	4054
735	11258	4038
736	11272	4022
737	11285	4006
738	11299	3990
739	11313	3975
740	11326	3958
741	11339	3942
742	11352	3926
743	11366	3911
744	11379	3895
745	11393	3879
746	11406	3863
747	11419	3847
748	11432	3831
749	11447	3815
750	11461	3800
751	11474	3784
752	11487	3768
753	11500	3752
754	11514	3736
755	11527	3720
756	11541	3704
757	11553	3688
758	11567	3672
759	11580	3657
760	11594	3641
761	11609	3626
762	11622	3610
763	11634	3593
764	11647	3578
765	11661	3562
766	11674	3546
767	11687	3530
768	11700	3514
769	11714	3499
770	11727	3483
771	11740	3467
772	11754	3451
773	11767	3436
774	11780	3420
775	11794	3404
776	11807	3388
777	11820	3372
778	11833	3357
779	11847	3341
780	11860	3325
781	11873	3310
782	11887	3294
783	11900	3278
784	11913	3263
785	11926	3247
786	11940	3231
787	11954	3216
788	11967	3200
789	11980	3184
790	11993	3169
791	12007	3153
792	12021	3137
793	12033	3121
794	12046	3106
795	12059	3090
796	12072	3075
797	12087	3059
798	12099	3043
799	12112	3028
800	12126	3012
801	12139	2996
802	12152	2981
803	12180	2969
804	12193	2953
805	12207	2938
806	12220	2922
807	12234	2907
808	12246	2891
809	12259	2875
810	12273	2860
811	12286	2844
812	12299	2829
813	12312	2813
814	12326	2798
815	12339	2782
816	12352	2766
817	12366	2751
818	12379	2735
819	12392	2720
820	12406	2704
821	12419	2689
822	12433	2674
823	12446	2658
824	12459	2642
825	12473	2627
826	12486	2612
827	12500	2596
828	12514	2581
829	12529	2566
830	12542	2550
831	12555	2535
832	12569	2519
833	12583	2504
834	12596	2489
835	12609	2473
836	12622	2458
837	12635	2442
838	12648	2427
839	12662	2411
840	12675	2396
841	12689	2381
842	12706	2366
843	12722	2351
844	12736	2336
